Stock Price,Analytical Solution,Numerical Solution (theta=1/3),Numerical Solution (theta=1),Error (theta=1/3),Error (theta=1)
224.0,126.17597649551408,128.8732986250944,128.8709045655192,2.6973221295803285,2.694928070005119
228.0,130.12705225324942,132.87173988780282,132.8691475880033,2.744687634553401,2.742095334753884
232.0,134.0781035430939,136.86971921679674,136.86690221139276,2.791615673702836,2.7887986682988526
236.0,138.02913035255725,140.8671207574986,140.8640510401582,2.8379904049413653,2.834920687600942
240.0,141.9801326693264,144.8638095867233,144.8604583305508,2.8836769173969117,2.8803256612244184
244.0,145.93111048113377,148.8596296640774,148.85596799915808,2.9285191829436314,2.924857518024311
248.0,149.88206377571947,152.85440198944914,152.8504018257737,2.972338213729671,2.9683380500542285
252.0,153.83299254082084,156.8479229875717,156.84355786671802,3.014930446750867,3.0105653258971756
256.0,157.78389676416992,160.8399631476035,160.8352091026637,3.056066383433574,3.051312338493773
260.0,161.7347764334927,164.83026594817602,164.82510234870617,3.0954895146833223,3.0903259152134694
264.0,165.68563153650905,168.8185470974673,168.81295745482154,3.132915560958253,3.1273259183124935
268.0,169.63646206093276,172.8044941143907,172.7984668227111,3.1680320534579494,3.1620047617783484
272.0,173.5872679944715,176.78776627162387,176.7812952609277,3.200498277152377,3.194027266456203
276.0,177.53804932482672,180.76799491449907,180.76108019463044,3.2299455896723543,3.223030869803722
280.0,181.48880603969374,184.74478416224406,184.73743223974154,3.2559781225503173,3.248626200047795
284.0,185.43953812676176,188.7177119900421,188.70993614408974,3.2781738632803297,3.2703980173279774
288.0,189.3902455737138,192.6863316828755,192.6781520906623,3.296086109161706,3.28790651694851
292.0,193.34092836822674,196.6501736411254,196.64161735066529,3.3092452728986643,3.300688982438544
296.0,197.29158649797125,200.608747530784,200.59984826699568,3.3171610328127485,3.3082617690244263
300.0,201.24221995061185,204.56154465240397,204.55234254218254,3.3193247017921124,3.310122591570689
304.0,205.19282871380693,208.50804098264317,208.49858179906093,3.315212268836234,3.305753085253997
308.0,209.1434127752087,212.4476984883958,212.43803437754642,3.3042857131870846,3.2946216023377133
312.0,213.09397212246313,216.3799753435448,216.3701583269853,3.286003221081671,3.276186204522162
316.0,217.0445067432101,220.30429949759284,220.29440455073095,3.259792754382744,3.2498978075208527
320.0,220.9950166250832,224.22018879757354,224.2102200578576,3.225172172490346,3.215203432774416
324.0,224.94550175570996,228.12681938257117,228.11705127625814,3.1813176268612153,3.171549520548183
328.0,228.89596212271164,232.02456273675463,232.0143473817296,3.1286006140429947,3.1183852590179697
332.0,232.8463977137033,235.90986491030412,235.90156359895624,3.0634671966008113,3.055165885252933
336.0,236.79680851629394,239.79147736603522,239.77816443245402,2.994668849741288,2.9813559161600836
340.0,240.74719451808616,243.64174011694308,243.6436267884322,2.894545598856922,2.8964322703460255
344.0,244.6975557066765,247.53522924300538,247.4974429520267,2.8376735363288788,2.7998872453501917
348.0,248.64789206965523,251.27494295172653,251.33912338834006,2.627050882071302,2.691231318684828
352.0,252.59820359460647,255.3465653242942,255.16819934004891,2.74836172968773,2.5699957454424407
356.0,256.5484902691081,258.6144316515189,258.9842251988883,2.065941382410813,2.4357349297802102
360.0,260.4987520807318,263.57607876080107,262.78678063296564,3.077326680069291,2.288028552233868
364.0,264.44898901704295,265.0632990606472,266.5754724564932,0.6143100436042346,2.126483439450226
368.0,268.39920106560083,273.09881279162306,270.3499362330457,4.699611726022226,1.9507351674448614
372.0,272.3493882139585,269.52523178112983,274.1098376077788,2.8241564328286586,1.760449393820295
376.0,276.2995504496627,284.91321972639753,277.85487336809547,8.61366927673481,1.5553229184327506
380.0,280.249687760254,271.73827170220056,281.58477223597924,8.511416058053442,1.335084475725239
384.0,284.1998001332667,297.5818245099114,285.2992953985741,13.382024376644722,1.0994952653073824
388.0,288.1498875562289,275.7354724142051,288.99823678655054,12.414415142023813,0.8483492303216167
392.0,292.0999500166625,304.35620864230737,292.68142311234726,12.256258625644875,0.5814730956847711
396.0,296.04998750208307,289.37187049354225,296.3487136825028,6.6781170085408235,0.29872618041974874
400.0,300.0,300.0,300.0,0.0,0.0
